TransactionID,AccountID,TransactionAmount,TransactionDuration,LoginAttempts,AccountBalance,AnomalyScore,RiskLevel,TransactionType,IsAnomaly
TX000001,AC00128,14.09,81,1,5112.21,-0.4111538446863785,High,Debit,False
TX000002,AC00455,376.24,141,1,13758.91,-0.4957203043586366,Low,Debit,False
TX000003,AC00019,126.29,56,1,1122.35,-0.41311630463167776,High,Debit,False
TX000004,AC00070,184.5,25,1,8569.06,-0.4420245234405763,Low,Debit,False
TX000005,AC00411,13.45,198,1,7429.4,-0.45123342881377265,Low,Credit,False
TX000006,AC00393,92.15,172,1,781.68,-0.42482428255353927,Low,Debit,False
TX000007,AC00199,7.08,139,1,13316.71,-0.5008036260014566,Low,Credit,False
TX000008,AC00069,171.42,291,1,2796.24,-0.5218291623195707,Low,Credit,False
TX000009,AC00135,106.23,86,1,9095.14,-0.4221471826569922,Low,Credit,False
TX000010,AC00385,815.96,120,1,1021.88,-0.46002730483969817,Low,Debit,False
TX000011,AC00150,17.78,59,1,7599.52,-0.4276202839502781,Low,Credit,False
TX000012,AC00459,190.02,173,1,1528.81,-0.41367328797976427,High,Debit,False
TX000013,AC00392,494.52,111,1,1620.02,-0.4197118585432625,Low,Credit,False
TX000014,AC00264,781.76,123,1,189.69,-0.48254044038320204,Low,Debit,False
TX000015,AC00085,166.99,134,1,299.93,-0.4159079119022216,Low,Debit,False
TX000016,AC00270,465.45,129,1,3465.54,-0.4126577870665668,High,Debit,False
TX000017,AC00317,555.8,158,1,1131.26,-0.43427271783196253,Low,Credit,False
TX000018,AC00359,492.93,234,1,5109.97,-0.4790612229021986,Low,Debit,False
TX000019,AC00242,18.68,106,1,7948.37,-0.42085910555610134,Low,Credit,False
TX000020,AC00285,71.48,169,1,6568.59,-0.41100720250923767,High,Credit,False
TX000021,AC00002,59.32,38,1,5750.89,-0.4152963967332045,Low,Debit,False
TX000022,AC00014,85.77,93,1,9146.19,-0.42170284469613784,Low,Debit,False
TX000023,AC00095,52.2,120,1,8974.93,-0.41598232165923676,Low,Debit,False
TX000024,AC00453,345.84,142,3,1402.5,-0.5846717229116678,Low,Debit,False
TX000025,AC00241,145.54,96,1,1930.96,-0.4001497702272516,High,Debit,False
TX000026,AC00041,7.49,276,1,3634.67,-0.5104952281174073,Low,Credit,False
TX000027,AC00441,246.93,158,5,673.35,-0.6784634229811428,Low,Debit,True
TX000028,AC00057,40.32,95,1,2686.52,-0.4109839147618445,High,Debit,False
TX000029,AC00390,127.45,197,1,1772.06,-0.4390119357960329,Low,Debit,False
TX000030,AC00313,56.17,283,1,1351.69,-0.5025229821106169,Low,Debit,False
TX000031,AC00367,28.31,20,1,8334.47,-0.46191424576266144,Low,Credit,False
TX000032,AC00291,59.12,257,1,9823.64,-0.49140368477706253,Low,Debit,False
TX000033,AC00060,396.45,168,3,9690.15,-0.6136570942236345,Low,Debit,True
TX000034,AC00359,877.81,150,1,399.0,-0.49199738367301327,Low,Debit,False
TX000035,AC00365,255.26,50,1,14815.87,-0.547351658145702,Low,Credit,False
