AccountID,ClusterID,RecommendationMessage,RecommendationReason,PriorityLevel,RecommendationCategory,SavingsPotential,AnomalyCount,SpendingVsCluster,AvgTransactionAmount,AverageBalance,TransactionFrequency,MetricValue
AC00001,1,Monitor unusual transactions for budget deviations,Found 2 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,0.0,2,-40.61130686461139,130.38,2915.16,2,2 anomalies
AC00002,0,Review irregular transactions for budgeting patterns,Detected 7 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,6.167143834947927,7,-24.423967294765685,293.7442857142857,4480.421428571429,7,7 anomalies
AC00003,1,Review irregular transactions for budgeting patterns,Detected 5 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,20.36868039692044,5,15.364745612928385,253.26800000000003,7329.567999999999,5,5 anomalies
AC00004,0,Review irregular transactions for budgeting patterns,Detected 9 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,10.186761652450679,9,-37.677540412258445,242.2311111111111,3340.956666666667,9,9 anomalies
AC00005,0,Review irregular transactions for budgeting patterns,Detected 9 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,24.007991176643497,9,-10.471354600243396,347.97444444444443,4457.837777777778,9,9 anomalies
AC00006,1,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $420.67 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,21.325763045662185,4,15.89404198831817,254.43,2051.2625,4,Min balance: $420.67
AC00007,0,Review irregular transactions for budgeting patterns,Detected 5 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,0.0,5,-23.052196564818463,299.076,7428.594,5,5 anomalies
AC00008,1,Excellent financial discipline - consider higher-yield savings options,Strong balance management with 14.1x typical monthly spending in reserves,LOW,OPTIMIZATION_OPPORTUNITY,0.0,1,-65.30876768529532,76.16,1072.25,1,Balance ratio: 14.1x
AC00009,1,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $131.25 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,13.132940222331605,5,-10.349401532944903,196.816,2929.928,5,Min balance: $131.25
AC00010,0,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $225.53 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,19.559827484110198,7,1.7625118397445354,395.5242857142857,5618.32,7,Min balance: $225.53
AC00011,0,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $201.04 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,15.348660482017944,7,-10.381713198620448,348.3228571428572,2679.1014285714286,7,Min balance: $201.04
AC00012,0,Review irregular transactions for budgeting patterns,Detected 6 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,8.385282953086534,6,-11.331830378008883,344.63000000000005,4145.016666666666,6,6 anomalies
